n,S,comparisons,cpu_time_seconds
100000,1,1536569,0.328125
100000,2,1536569,0.34375
100000,3,1536485,0.359375
100000,4,1536960,0.296875
100000,5,1536960,0.328125
100000,6,1554698,0.34375
100000,7,1557816,0.296875
100000,8,1557816,0.34375
100000,9,1557816,0.296875
100000,10,1557816,0.296875
100000,11,1557816,0.34375
100000,12,1619830,0.359375
100000,13,1639553,0.359375
100000,14,1639553,0.34375
100000,15,1639553,0.3125
100000,16,1639553,0.296875
100000,17,1639553,0.296875
100000,18,1639553,0.328125
100000,19,1639553,0.328125
100000,20,1639553,0.328125
100000,21,1639553,0.375
100000,22,1639553,0.296875
100000,23,1639553,0.328125
100000,24,1766062,0.359375
100000,25,1863932,0.4375
100000,26,1863932,0.359375
100000,27,1863932,0.375
100000,28,1863932,0.4375
100000,29,1863932,0.375
100000,30,1863932,0.34375
100000,31,1863932,0.34375
100000,32,1863932,0.34375
100000,33,1863932,0.375
100000,34,1863932,0.390625
100000,35,1863932,0.359375
100000,36,1863932,0.40625
100000,37,1863932,0.390625
100000,38,1863932,0.34375
100000,39,1863932,0.3125
100000,40,1863932,0.359375
100000,41,1863932,0.359375
100000,42,1863932,0.34375
100000,43,1863932,0.3125
100000,44,1863932,0.375
100000,45,1863932,0.328125
100000,46,1863932,0.359375
100000,47,1863932,0.34375
100000,48,1949718,0.34375
100000,49,2380770,0.46875
100000,50,2380770,0.46875
100000,51,2380770,0.515625
100000,52,2380770,0.484375
100000,53,2380770,0.453125
100000,54,2380770,0.546875
100000,55,2380770,0.515625
100000,56,2380770,0.515625
100000,57,2380770,0.46875
100000,58,2380770,0.40625
100000,59,2380770,0.46875
100000,60,2380770,0.484375
100000,61,2380770,0.46875
100000,62,2380770,0.421875
100000,63,2380770,0.46875
100000,64,2380770,0.484375
100000,65,2380770,0.546875
100000,66,2380770,0.515625
100000,67,2380770,0.625
100000,68,2380770,0.46875
100000,69,2380770,0.390625
100000,70,2380770,0.296875
100000,71,2380770,0.3125
100000,72,2380770,0.3125
100000,73,2380770,0.296875
100000,74,2380770,0.28125
100000,75,2380770,0.296875
100000,76,2380770,0.296875
100000,77,2380770,0.28125
100000,78,2380770,0.265625
100000,79,2380770,0.3125
100000,80,2380770,0.3125
100000,81,2380770,0.296875
100000,82,2380770,0.265625
100000,83,2380770,0.296875
100000,84,2380770,0.265625
100000,85,2380770,0.296875
100000,86,2380770,0.28125
100000,87,2380770,0.28125
100000,88,2380770,0.296875
100000,89,2380770,0.328125
100000,90,2380770,0.3125
100000,91,2380770,0.296875
100000,92,2380770,0.296875
100000,93,2380770,0.28125
100000,94,2380770,0.28125
100000,95,2380770,0.296875
100000,96,2380770,0.265625
100000,97,2762518,0.34375
100000,98,3504900,0.453125
100000,99,3504900,0.421875
100000,100,3504900,0.4375
100000,101,3504900,0.453125
100000,102,3504900,0.4375
100000,103,3504900,0.4375
100000,104,3504900,0.453125
100000,105,3504900,0.4375
100000,106,3504900,0.4375
100000,107,3504900,0.4375
100000,108,3504900,0.453125
100000,109,3504900,0.4375
100000,110,3504900,0.421875
100000,111,3504900,0.4375
100000,112,3504900,0.4375
100000,113,3504900,0.4375
100000,114,3504900,0.4375
100000,115,3504900,0.453125
100000,116,3504900,0.421875
100000,117,3504900,0.421875
100000,118,3504900,0.4375
100000,119,3504900,0.4375
100000,120,3504900,0.421875
100000,121,3504900,0.390625
100000,122,3504900,0.453125
100000,123,3504900,0.421875
100000,124,3504900,0.4375
100000,125,3504900,0.453125
100000,126,3504900,0.4375
100000,127,3504900,0.4375
100000,128,3504900,0.46875
