n,S,comparisons,cpu_time
1000,1,8755,0.0
1000,2,8755,0.0
1000,4,8801,0.0
1000,8,9205,0.0
1000,16,10405,0.0
1000,32,13400,0.0
1000,64,20559,0.0
1000,96,20559,0.0
1000,128,34981,0.0
10000,1,120541,0.03125
10000,2,120541,0.015625
10000,4,120578,0.03125
10000,8,121599,0.015625
10000,16,127100,0.015625
10000,32,143681,0.015625
10000,64,184343,0.03125
10000,96,273814,0.046875
10000,128,273814,0.046875
100000,1,1536580,0.328125
100000,2,1536580,0.265625
100000,4,1536643,0.296875
100000,8,1557339,0.25
100000,16,1638274,0.265625
100000,32,1859822,0.4375
100000,64,2380173,0.40625
100000,96,2380173,0.484375
100000,128,3505703,0.5625
1000000,1,18674318,3.90625
1000000,2,18674318,3.78125
1000000,4,18727540,3.515625
1000000,8,19071813,3.390625
1000000,16,20225839,3.6875
1000000,32,23182145,4.234375
1000000,64,29892960,5.234375
1000000,96,29892960,6.921875
1000000,128,44201250,9.21875
10000000,1,220103138,66.328125
10000000,2,220103138,58.140625
10000000,4,220224429,53.71875
10000000,8,221111993,58.796875
10000000,16,226419184,41.75
10000000,32,242303510,45.03125
10000000,64,281254010,51.0625
10000000,96,367291397,62.046875
10000000,128,367291397,63.125
